job,status,purchase_order_container#,pieces,contained_item,purchase_order_harvest_date,departure_date,arrival_date,description,model,item_definition_categories,part_number,purchase_order_pallets,unitary_value,length_in,height_in,width_in,weight_lb,volume_ft³,piece_weight_lb,piece_volume_ft³
4607,On Hand,CAAU4104110,900,Yes,NaN,01/10/2025,01/19/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.32,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4606,On Hand,NaN,900,Yes,NaN,01/12/2025,01/28/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.32,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4605,On Hand,TEXU9523830,900,Yes,NaN,01/10/2025,01/19/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.32,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4604,On Hand,SMLU5454111,900,Yes,NaN,01/10/2025,01/19/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.32,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4611,On Hand,NaN,900,Yes,NaN,01/11/2025,01/27/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECPRI,Walk Global/Escobar,20.4,15.75,9.06,24.02,"35,991.00","1,908.00",39.99,2.12
4601,Ordered,NaN,960,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001MXCOL,Chep,25.31,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4603,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.68,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4602,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.68,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4600,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.68,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4599,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.68,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4598,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.68,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4595,On Hand,NaN,960,Yes,NaN,01/11/2025,01/19/2025,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001COCIA,Chep,20.4,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4593,On Hand,NaN,960,Yes,NaN,01/11/2025,01/19/2025,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001COCIA,Chep,20.4,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4597,On Hand,ZMOU8826571,900,Yes,NaN,01/12/2025,01/28/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECMAR,Walk Global/Escobar,20.4,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4596,On Hand,ZCLU9952001,900,Yes,NaN,01/12/2025,01/28/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECMAR,Walk Global/Escobar,20.4,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4591,On Hand,GMOU9003455,960,Yes,NaN,01/05/2025,01/21/2025,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001ECELG,Tipo CHEP,20.71,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4592,On Hand,GCXU8019371,900,Yes,NaN,01/03/2025,01/12/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,21.36,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4590,On Hand,ZMOU8955563,900,Yes,NaN,01/05/2025,01/21/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,21.36,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4594,On Hand,CAAU4100075,900,Yes,NaN,01/03/2025,01/12/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,21.36,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4589,On Hand,SZLU9928636,960,Yes,NaN,01/04/2025,01/12/2025,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001COCIA,Chep,20.63,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4576,On Hand,SEGU9466391,960,Yes,NaN,01/04/2025,01/12/2025,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001COCIA,Chep,20.63,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4587,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.6,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
