"Status","Sales Order","Line No.","Description","Part Number","Quantity","Price","Amount","Promised Date","Unit","Tax Code","Tax Rate","Tax Amt.","Amt.+Tax","Is Cancelled"
"Delivered","4490","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4495","1","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","4540","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4451","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4461","1","Banano Cavendish Organico Fairtrade con banda","001ECMAR","960","24.36000","23,385.60",,"Casa",,"0.00","0.00","23,385.60","No"
"Delivered","4477","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4453","1","Banano Cavendish Organico Fairtrade con banda","001ECMAR","960","25.67000","24,643.20",,"Casa",,"0.00","0.00","24,643.20","No"
"Delivered","4482QC","1","Banano Cavendish Organico Fairtrade con banda","001ECMAR","288","23.81000","6,857.28",,"Casa",,"0.00","0.00","6,857.28","No"
"Delivered","4482BCH","1","Banano Cavendish Organico Fairtrade con banda","001ECMAR","672","23.81000","16,000.32",,"Casa",,"0.00","0.00","16,000.32","No"
"Delivered","4497","1","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","4481","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Delivered","4479","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","720","28.02000","20,174.40",,"Cases",,"0.00","0.00","20,174.40","No"
"Delivered","4480","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Delivered","4478","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4474QC","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","288","23.81000","6,857.28",,"Cases",,"0.00","0.00","6,857.28","No"
"Delivered","4474BCH","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","672","23.81000","16,000.32",,"Cases",,"0.00","0.00","16,000.32","No"
"Delivered","4539","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Delivered","4470","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","25.11000","22,599.00",,"Cases",,"0.00","0.00","22,599.00","No"
"Loaded","4510","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Loaded","4517","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4448","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","25.32000","22,788.00",,"Cases",,"0.00","0.00","22,788.00","No"
"Delivered","4476","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4475BCH","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","672","23.81000","16,000.32",,"Cases",,"0.00","0.00","16,000.32","No"
"Delivered","4475QC","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","288","23.81000","6,857.28",,"Cases",,"0.00","0.00","6,857.28","No"
"Delivered","4447","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4449","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Delivered","4469","1","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","4538","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Delivered","4463","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4466","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4465","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4443","2","Banano Cavendish Organico Fairtrade con banda","001PEAPP","672","25.67000","17,250.24",,"Cases",,"0.00","0.00","17,250.24","No"
"Delivered","4443","3","Banano Cavendish Organico Fairtrade con banda","001PEAPP","288","25.67000","7,392.96",,"Cases",,"0.00","0.00","7,392.96","No"
