Type,Code,Description,Account Name,Amount,Currency,COS Charge?
Other,B2CBRABUIUSA,B2C Brand Building USA,B2C Brand Building USA,0.00,Canadian Dollar,No
Other,RETACTUSA,Retail Activation USA,Retail Activation USA,0.00,Canadian Dollar,No
Other,TRASHOUSA,Trade Show USA,Trade Show USA,0.00,Canadian Dollar,No
Other,MAGAYA,Magaya,Magaya,0.00,Canadian Dollar,No
Other,CONSUL-M365,Consultation M365,Consultation M365,145.50,Canadian Dollar,No
Inventory,007ECPRI-COST,Banano Cavendish Organico Fairtrade 3lb Banda Costco Cost,Coût du fruit,14.10,United States Dollar,No
Inventory,007ECPRI-INC,Banano Cavendish Organico Fairtrade 3lb Banda Costco,Ventes,0.00,United States Dollar,No
Inventory,001ECGER-INC,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Ventes,0.00,United States Dollar,No
Inventory,001ECGER-COST,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Coût du fruit,14.10,United States Dollar,No
Inventory,001ECMAR-INC,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Ventes,0.00,United States Dollar,No
Inventory,001ECMAR-COST,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Coût du fruit,13.95,United States Dollar,No
Inventory,001ECSUR-INC,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Ventes,0.00,United States Dollar,No
Inventory,001ECSUR-COST,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Coût du fruit,14.02,United States Dollar,No
Inventory,TRAMASEAL-COST,Transport Maritime Sealand Cost,Transport Maritime,0.00,United States Dollar,Yes
Inventory,007PEAPP-COST,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Coût du fruit,14.10,United States Dollar,Yes
Inventory,007PEAPP-INC,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Ventes,0.00,United States Dollar,Yes
Inventory,004NICOQ-COST,Banane Cavendish Equitable / Fairtrade banana,Coût du fruit,10.13,United States Dollar,Yes
Inventory,004NICOQ-INC,Banane Cavendish Equitable / Fairtrade banana,Ventes,0.00,United States Dollar,Yes
