Part Number,Description,Manufacturer,Package,Pieces,Sellable,Unit,Amount Per Pallet,Incoming Pieces,Cost,Total Purchase Cost (CAD),Total Billed Pieces,Model,Creation Date,Sale Item,Purchase Item,Allocated Pieces,Allocated Incoming Pieces,Length (in),Width (in),Height (in),Weight (lb),Volume (ft³),Total OnHand Weight (lb),Preferred Vendor,Costing Method,Total Landed Cost (CAD),Average Landed Cost (CAD),Average Purchase Cost (CAD),Minimum Lead Time,Maximum Lead Time,Reserved Pieces,Available Pieces,Available Now,Categories,English Description,French Description
004MXCOL,Banano Cavendish Convencional Fairtrade con etiqueta,Coliman Pacific Corporation,Caja con tapa convencional (naranja y azul),624,Yes,Cases,48,0,21.49,"75,599.24","3,504",Convencional banana,12/12/2021,Banane Cavendish Equitable / Fairtrade banana,Banane Cavendish Equitable / Fairtrade banana,624,0,15.75,24.02,9.06,39.99,2.12,"24,954.92",Coliman Pacific Corporation,Specific Identification,"75,599.24",21.58,21.58,0,41,0,0,0,Conventional,Conventional Fairtrade Cavendish Banana,Banane Cavendish Fairtrade Conventionelle
004ECELG,Banano Cavendish Convencional Fairtrade con etiqueta,ASOGUABO,Caja con tapa convencional (naranja y azul),"3,072",Yes,Cases,48,0,15.77,"35,673.39","2,474",Convencional banana,12/12/2021,Banane Cavendish Equitable / Fairtrade banana,Banane Cavendish Equitable / Fairtrade banana,"1,920",0,15.75,24.02,9.06,39.99,2.12,"122,854.98",ASOGUABO,Specific Identification,"35,673.39",14.42,14.42,0,35,0,"1,152","1,152",Conventional,Conventional Fairtrade Cavendish Banana,Banane Cavendish Fairtrade Conventionelle
004COCIA,Banano Cavendish Convencional Fairtrade con etiqueta,C.I. AGRICOLAS LAS FLORES S.A.S.,Caja con tapa convencional (naranja y azul),0,Yes,Cases,48,0,16.93,"13,575.82",960,Convencional banana,12/12/2021,Banane Cavendish Equitable / Fairtrade banana,Banane Cavendish Equitable / Fairtrade banana,0,0,15.75,24.02,9.06,39.99,2.12,0.00,C.I. AGRICOLAS LAS FLORES S.A.S.,Specific Identification,"13,575.82",14.14,14.14,0,37,0,0,0,Conventional,Conventional Fairtrade Cavendish Banana,Banane Cavendish Fairtrade Conventionelle
001PEAPP,Banano Cavendish Organico Fairtrade con banda,APPBOSA,Caja con tapa organica (morado y verde),"4,800",Yes,Cases,48,0,20.04,"106,889.15","5,760",Organic banana,12/12/2021,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,"2,880",0,15.75,24.02,9.06,39.99,2.12,"191,960.90",APPBOSA,Specific Identification,"106,889.15",18.56,18.56,0,63,0,"1,920","1,920",Organic,Organic and Fairtrade Cavendish Banana,Banane Cavendish Biologique et Fairtrade
001MXCOL,Banano Cavendish Organico Fairtrade con banda,Coliman Pacific Corporation,Caja con tapa organica (morado y verde),"3,206",Yes,Cases,48,"6,960",25.32,"372,900.67","16,022",Organic banana,12/12/2021,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,"3,206",960,15.75,24.02,9.06,39.99,2.12,"128,213.88",Coliman Pacific Corporation,Specific Identification,"372,900.67",23.27,23.27,0,41,0,"6,000",0,Organic,Organic and Fairtrade Cavendish Banana,Banane Cavendish Biologique et Fairtrade
001ECSUR,Banano Cavendish Organico Fairtrade con banda,Surgesa S.A.,Caja con tapa organica (morado y verde),0,Yes,Cases,48,0,20.29,0.01,0,Organic banana,10/06/2022,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,0,0,15.75,24.02,9.06,39.99,2.12,0.00,Surgesa S.A.,Specific Identification,0.01,0.0,0.0,2,16,0,0,0,,,
001ECMAR,Banano Cavendish Organico Fairtrade con banda,Marplantis Organic Sustainable Agriculture,Caja con tapa organica (morado y verde),"4,800",Yes,Casa,48,0,20.19,"57,003.05","2,880",Organic banana,10/06/2022,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,0,0,0.0,0.0,0.0,39.99,0.0,"191,952.00",Marplantis Organic Sustainable Agriculture,Specific Identification,"57,003.05",19.79,19.79,0,43,0,"4,800","4,800",,,
001ECLAT,Banano Cavendish Organico Fairtrade con banda,Latbio S.A.,Caja con tapa organica (morado y verde),0,Yes,Cases,48,0,0.0,0.00,0,Organic banana,05/24/2024,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,0,0,15.75,24.02,9.06,39.68,2.12,0.00,Latbio S.A.,Average Cost,0.00,0.0,0.0,12,12,0,0,0,,,
001ECGER,Banano Cavendish Organico Fairtrade con banda,Gerifruit Organic Fruit,Caja con tapa organica (morado y verde),0,Yes,Cases,48,0,20.4,0.00,0,Organic banana,10/06/2022,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,0,0,0.0,0.0,0.0,39.99,0.0,0.00,Gerifruit Organic Fruit,Specific Identification,0.00,0.0,0.0,9,18,0,0,0,,,
001ECELG,Banano Cavendish Organico Fairtrade con banda,ASOGUABO,Caja con tapa organica (morado y verde),"10,446",Yes,Cases,48,"1,920",20.11,"241,523.56","11,454",Organic banana,12/12/2021,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,"4,782",0,15.75,24.02,9.06,39.99,2.12,"417,754.91",ASOGUABO,Specific Identification,"241,523.56",21.09,21.09,0,54,96,"7,488","5,568",Organic,Organic and Fairtrade Cavendish Banana,Banane Cavendish Biologique et Fairtrade
001CODAA,Banano Cavendish Organico Fairtrade con banda,C.I. LA SAMARIA S.A.S,Caja con tapa organica (morado y verde),0,Yes,,48,0,20.26,0.00,0,Organic banana,10/16/2024,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,0,0,0.0,0.0,0.0,0.0,0.0,0.00,C.I. LA SAMARIA S.A.S,Average Cost,0.00,0.0,0.0,0,11,0,0,0,,,
001COCIA,Banano Cavendish Organico Fairtrade con banda,C.I. AGRICOLAS LAS FLORES S.A.S.,Caja con tapa organica (morado y verde),"4,801",Yes,Cases,48,"4,800",20.4,"208,372.11","9,600",Organic banana,12/12/2021,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,960,0,15.75,24.02,9.06,39.99,2.12,"192,000.89",C.I. AGRICOLAS LAS FLORES S.A.S.,Specific Identification,"208,372.11",21.71,21.71,0,183,0,"8,641","3,841",Organic,Organic and Fairtrade Cavendish Banana,Banane Cavendish Biologique et Fairtrade
