Number,Entity,Transaction Date,Employee,Account Name,Bank Account,Reconciliation Date,Amount,AR Amount (CAD),Amount (CAD),Tax Amount,Withholding Tax Amount,Currency,Exchange Rate,Reverse Exchange Rate,Is Printed,Realized Amount (CAD),Gain/Loss (CAD),Attachments
00029103302024,Costco Vaughan Wet,06/05/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,06/30/2024,"USD 24,111.00","33,044.13","33,032.07",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,032.07",12.06,No
00029103302024,Costco Varennes,06/05/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,06/30/2024,"USD 24,111.00","33,044.13","33,032.07",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,032.07",12.06,No
565284,Courchesne Larose,06/05/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,06/30/2024,"USD 24,662.40","33,923.13","33,787.49",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,787.49",135.64,No
20531,"Chiovitti Banana Co., Ltd",06/05/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,06/30/2024,"USD 150,432.44","206,268.75","206,844.60",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"206,844.60",-575.85,No
00028952062024,Costco Varennes,06/03/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,06/30/2024,"USD 48,222.00","66,148.53","65,919.47",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"65,919.47",229.06,No
00028952062024,Costco Vaughan Wet,06/03/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,06/30/2024,"USD 96,444.00","132,116.23","131,838.95",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"131,838.95",277.28,No
28096,Top Banana,06/03/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,06/30/2024,"USD 22,806.00","31,289.83","31,175.80",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"31,175.80",114.03,Yes
00028850362024,Costco Vaughan Wet,05/31/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,111.00","33,297.29","33,007.96",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,007.96",289.33,No
00028850362024,Costco Varennes,05/31/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,111.00","33,297.29","33,007.96",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,007.96",289.33,No
00028781012024,Costco Vaughan Wet,05/30/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 48,222.00","66,257.03","66,257.21",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"66,257.21",-0.18,No
KPI01308,Krown Produce  Fresh At Its Best™,05/29/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 135,702.00","186,217.07","186,183.14",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"186,183.14",33.93,Yes
00028709412024,Costco Vaughan Wet,05/29/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,111.00","32,995.90","33,080.29",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,080.29",-84.39,No
00028709412024,Costco Varennes,05/29/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,111.00","32,995.90","33,080.29",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,080.29",-84.39,No
20477,"Chiovitti Banana Co., Ltd",05/29/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 21,230.40","29,096.57","29,128.11",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"29,128.11",-31.54,No
2000031159,Sobeys BCH,05/28/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 56,148.96","77,333.82","76,699.48",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"76,699.48",634.34,No
2000031159,Sobeys Quebec City,05/28/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 23,318.40","32,177.79","31,852.93",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"31,852.93",324.86,No
28013,Top Banana,05/28/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 22,806.00","31,426.67","31,153.00",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"31,153.00",273.67,Yes
00028627432024,Costco Vaughan Wet,05/28/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,111.00","33,007.96","32,935.63",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"32,935.63",72.33,No
00028479882024,Costco Varennes,05/24/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 48,348.00","66,260.94","66,430.15",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"66,430.15",-169.21,No
00028479882024,Costco Vaughan Wet,05/24/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 96,696.00","132,618.58","132,860.30",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"132,860.30",-241.72,No
565182,Courchesne Larose,05/24/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,662.40","33,762.83","33,886.14",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,886.14",-123.31,No
20416,"Chiovitti Banana Co., Ltd",05/23/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 135,561.60","185,934.48","185,719.39",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"185,719.39",215.09,No
00028409372024,Costco Vaughan Wet,05/23/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","33,202.99","33,118.38",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,118.38",84.61,No
00028343342024,Costco Vaughan Wet,05/22/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","33,239.25","33,118.38",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,118.38",120.87,No
00028343342024,Costco Varennes,05/22/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","33,239.25","33,118.38",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,118.38",120.87,No
2000022867,Sobeys Quebec City,05/21/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 5,733.60","7,912.37","7,843.56",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"7,843.56",68.81,Yes
2000022867,Sobeys BCH,05/21/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 40,135.20","54,698.54","54,904.95",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"54,904.95",-206.41,Yes
00028245482024,Costco Vaughan Wet,05/20/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 120,709.62","166,506.76","165,130.76",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"165,130.76","1,376.00",No
00028245482024,Costco Varennes,05/20/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","33,360.12","33,070.03",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,070.03",290.09,No
27943,Top Banana,05/20/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 22,806.00","31,369.65","31,198.61",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"31,198.61",171.04,Yes
565063,Courchesne Larose,05/19/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,720.00","34,113.60","33,816.96",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,816.96",296.64,No
27930,Top Banana,05/17/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 22,806.00","31,301.24","31,198.61",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"31,198.61",102.63,Yes
00028144972024,Costco Vaughan Wet,05/17/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","33,444.73","33,070.03",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,070.03",374.70,No
00028144972024,Costco Varennes,05/17/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","33,444.73","33,070.03",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,070.03",374.70,No
00028077722024,Costco Vaughan Wet,05/16/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","33,432.64","33,070.03",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,070.03",362.61,No
00028005032024,Costco Vaughan Wet,05/15/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","33,311.77","33,166.73",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,166.73",145.04,No
00028005032024,Costco Varennes,05/15/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","33,311.77","33,166.73",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,166.73",145.04,No
2000013542,Sobeys BCH,05/15/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 17,200.80","23,281.28","23,599.50",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"23,599.50",-318.22,Yes
2000013542,Sobeys Quebec City,05/15/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 17,599.20","23,778.99","24,146.10",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"24,146.10",-367.11,Yes
KPI01295,Krown Produce  Fresh At Its Best™,05/15/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 45,234.00","62,128.90","62,061.05",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"62,061.05",67.85,Yes
007040,Holt Cargo Systems,05/15/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 1,038.00","1,427.77","1,424.14",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"1,424.14",3.63,No
577041/4212/5337/584,Charlies Seattle,05/15/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 103,936.80","141,840.55","142,601.29",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"142,601.29",-760.74,No
20398,"Chiovitti Banana Co., Ltd",05/14/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 112,776.00","154,803.55","154,728.67",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"154,728.67",74.88,Yes
24BEF8,Costco Canada,05/14/2024,Karyne Manseau,Comptes clients CAD,Comptant CAD RBC,05/31/2024,CAD 10.00,10.00,10.00,CAD 0.00,CAD 0.00,Canadian Dollar,1.0,1.0,No,0.00,0.00,No
00027858642024,Costco Varennes,05/13/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","33,360.12","33,166.73",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,166.73",193.39,No
00027858642024,Costco Vaughan Wet,05/13/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 120,870.00","166,462.16","165,833.64",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"165,833.64",628.52,No
27852,Top Banana,05/13/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 22,806.00","31,301.24","31,289.83",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"31,289.83",11.41,Yes
564955,Courchesne Larose,05/12/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,720.00","34,064.16","33,915.84",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,915.84",148.32,No
00027759742024,Costco Vaughan Wet,05/10/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","32,876.64","33,166.73",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,166.73",-290.09,No
00027759742024,Costco Varennes,05/10/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","32,876.64","33,166.73",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,166.73",-290.09,No
00027688272024,Costco Vaughan Wet,05/09/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","32,634.90","33,239.25",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,239.25",-604.35,No
00027617342024,Costco Varennes,05/08/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","32,937.07","33,311.77",USD 0.00,USD 0.00,United States Dollar,0.73,1.38,No,"33,311.77",-374.70,No
00027617342024,Costco Vaughan Wet,05/08/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","32,937.07","33,311.77",USD 0.00,USD 0.00,United States Dollar,0.73,1.38,No,"33,311.77",-374.70,No
2000004633,Sobeys BCH,05/08/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 22,934.40","31,190.78","31,603.60",USD 0.00,USD 0.00,United States Dollar,0.73,1.38,No,"31,603.60",-412.82,Yes
2000004633,Sobeys Quebec City,05/08/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 11,865.60","16,143.15","16,350.80",USD 0.00,USD 0.00,United States Dollar,0.73,1.38,No,"16,350.80",-207.65,Yes
20296,"Chiovitti Banana Co., Ltd",05/07/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 112,492.80","155,201.72","153,890.15",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"153,890.15","1,311.57",Yes
2000001995,Sobeys Quebec City,05/06/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 11,865.60","16,172.81","16,261.80",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"16,261.80",-88.99,No
2000001995,Sobeys BCH,05/06/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 45,868.80","62,335.70","62,863.19",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"62,863.19",-527.49,No
00027482822024,Costco Varennes,05/06/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","33,021.68","33,130.47",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,130.47",-108.79,No
00027482822024,Costco Vaughan Wet,05/06/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 96,696.00","131,482.38","132,521.87",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"132,521.87","-1,039.49",No
27779,Top Banana,05/06/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 22,869.00","31,524.92","31,341.96",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"31,341.96",182.96,Yes
00027387282024,Costco Varennes,05/03/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","32,924.99","33,070.03",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,070.03",-145.04,No
00027387282024,Costco Vaughan Wet,05/03/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","32,924.99","33,070.03",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,070.03",-145.04,No
27765,Top Banana,05/03/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 22,869.00","31,627.83","31,284.79",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"31,284.79",343.04,Yes
564850,Courchesne Larose,05/03/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 49,440.00","67,040.64","67,633.92",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"67,633.92",-593.28,No
00027325652024,Costco Vaughan Wet,05/02/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","32,888.73","33,251.34",USD 0.00,USD 0.00,United States Dollar,0.73,1.38,No,"33,251.34",-362.61,No
KPI01280,Krown Produce  Fresh At Its Best™,05/02/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 134,640.00","183,516.84","185,197.32",USD 0.00,USD 0.00,United States Dollar,0.73,1.38,No,"185,197.32","-1,680.48",Yes
00027257532024,Costco Vaughan Wet,05/01/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","32,876.64","33,384.29",USD 0.00,USD 0.00,United States Dollar,0.72,1.38,No,"33,384.29",-507.65,No
00027257532024,Costco Varennes,05/01/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,174.00","32,876.64","33,384.29",USD 0.00,USD 0.00,United States Dollar,0.72,1.38,No,"33,384.29",-507.65,No
20229,"Chiovitti Banana Co., Ltd",04/30/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 113,232.00","155,310.46","155,410.92",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"155,410.92",-100.46,Yes
00027115092024,Costco Vaughan Wet,04/29/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 72,522.00","98,702.43","99,246.36",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"99,246.36",-543.93,No
00027115092024,Costco Varennes,04/29/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,900.81","33,082.12",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,082.12",-181.31,No
27695,Top Banana,04/29/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 22,869.00","31,399.14","31,296.23",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"31,296.23",102.91,Yes
564754,Courchesne Larose,04/28/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,05/31/2024,"USD 24,720.00","33,643.92","33,841.68",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,841.68",-197.76,No
2000525200,Sobeys Quebec City,04/26/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 11,865.60","16,101.62","16,244.01",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"16,244.01",-142.39,Yes
2000525200,Sobeys BCH,04/26/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 45,868.80","62,106.35","62,794.39",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"62,794.39",-688.04,Yes
00027022042024,Costco Vaughan Wet,04/26/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,949.16","33,094.21",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,094.21",-145.05,No
27678,Top Banana,04/26/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 22,869.00","31,159.01","31,307.66",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"31,307.66",-148.65,Yes
00026957892024,Costco Vaughan Wet,04/25/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,876.64","33,178.81",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,178.81",-302.17,No
00026893082024,Costco Varennes,04/24/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,949.16","33,202.99",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,202.99",-253.83,No
00026893082024,Costco Vaughan Wet,04/24/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,949.16","33,202.99",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,202.99",-253.83,No
564635,Courchesne Larose,04/24/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,720.00","33,619.20","33,952.92",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,952.92",-333.72,No
20175,"Chiovitti Banana Co., Ltd",04/23/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 112,492.80","152,845.19","154,508.86",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"154,508.86","-1,663.67",Yes
27619,Top Banana,04/22/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 22,869.00","31,147.58","31,444.87",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"31,444.87",-297.29,No
00026750372024,Costco Varennes,04/22/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,876.64","33,239.25",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,239.25",-362.61,No
00026750372024,Costco Vaughan Wet,04/22/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 72,522.00","98,509.05","99,717.75",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"99,717.75","-1,208.70",No
00026647362024,Costco Varennes,04/19/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 48,348.00","65,874.15","66,720.24",USD 0.00,USD 0.00,United States Dollar,0.72,1.38,No,"66,720.24",-846.09,No
00026647362024,Costco Vaughan Wet,04/19/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 48,348.00","65,608.24","66,720.24",USD 0.00,USD 0.00,United States Dollar,0.72,1.38,No,"66,720.24","-1,112.00",No
KPI01249,Krown Produce  Fresh At Its Best™,04/18/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 45,360.00","61,723.62","62,528.76",USD 0.00,USD 0.00,United States Dollar,0.73,1.38,No,"62,528.76",-805.14,No
00026580882024,Costco Vaughan Wet,04/18/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,924.99","33,444.73",USD 0.00,USD 0.00,United States Dollar,0.72,1.38,No,"33,444.73",-519.74,No
20114,"Chiovitti Banana Co., Ltd",04/17/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 89,760.00","122,188.90","124,182.96",USD 0.00,USD 0.00,United States Dollar,0.72,1.38,No,"124,182.96","-1,994.06",No
00026516892024,Costco Varennes,04/17/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,804.12","33,444.73",USD 0.00,USD 0.00,United States Dollar,0.72,1.38,No,"33,444.73",-640.61,No
00026516892024,Costco Vaughan Wet,04/17/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,804.12","33,444.73",USD 0.00,USD 0.00,United States Dollar,0.72,1.38,No,"33,444.73",-640.61,No
564529,Courchesne Larose,04/17/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,720.00","33,569.76","34,200.12",USD 0.00,USD 0.00,United States Dollar,0.72,1.38,No,"34,200.12",-630.36,No
27525,Top Banana,04/15/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 22,869.00","31,124.71","31,513.48",USD 0.00,USD 0.00,United States Dollar,0.73,1.38,No,"31,513.48",-388.77,No
00026372462024,Costco Vaughan Wet,04/15/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 72,522.00","98,315.65","99,935.32",USD 0.00,USD 0.00,United States Dollar,0.73,1.38,No,"99,935.32","-1,619.67",No
00026372462024,Costco Varennes,04/15/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,659.07","33,311.77",USD 0.00,USD 0.00,United States Dollar,0.73,1.38,No,"33,311.77",-652.70,No
2000508063,Sobeys Quebec City,04/15/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 35,596.80","48,343.42","49,052.39",USD 0.00,USD 0.00,United States Dollar,0.73,1.38,No,"49,052.39",-708.97,No
2000508063,Sobeys BCH,04/15/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 114,672.00","155,529.64","158,018.02",USD 0.00,USD 0.00,United States Dollar,0.73,1.38,No,"158,018.02","-2,488.38",No
27511,Top Banana,04/12/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 22,869.00","31,170.45","31,559.22",USD 0.00,USD 0.00,United States Dollar,0.72,1.38,No,"31,559.22",-388.77,No
00026273082024,Costco Vaughan Wet,04/12/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,731.60","33,190.90",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,190.90",-459.30,No
00026133302024,Costco Vaughan Wet,04/10/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,659.08","32,876.64",USD 0.00,USD 0.00,United States Dollar,0.74,1.36,No,"32,876.64",-217.56,No
00026133302024,Costco Varennes,04/10/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,659.08","32,876.64",USD 0.00,USD 0.00,United States Dollar,0.74,1.36,No,"32,876.64",-217.56,No
20041,"Chiovitti Banana Co., Ltd",04/09/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 157,857.60","214,186.07","213,107.76",USD 0.00,USD 0.00,United States Dollar,0.74,1.35,No,"213,107.76","1,078.31",Yes
27437,Top Banana,04/08/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 22,869.00","31,193.32","31,159.01",USD 0.00,USD 0.00,United States Dollar,0.73,1.36,No,"31,159.01",34.31,Yes
00025994502024,Costco Varennes,04/08/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,610.73","32,937.07",USD 0.00,USD 0.00,United States Dollar,0.73,1.36,No,"32,937.07",-326.34,No
00025994502024,Costco Vaughan Wet,04/08/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 72,522.00","97,953.06","98,811.23",USD 0.00,USD 0.00,United States Dollar,0.73,1.36,No,"98,811.23",-858.17,No
00025900142024,Costco Vaughan Wet,04/05/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,949.16","33,021.68",USD 0.00,USD 0.00,United States Dollar,0.73,1.37,No,"33,021.68",-72.52,No
00025830652024,Costco Vaughan Wet,04/04/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 24,174.00","32,973.34","32,924.99",USD 0.00,USD 0.00,United States Dollar,0.73,1.36,No,"32,924.99",48.35,No
KPI01229,Krown Produce  Fresh At Its Best™,04/04/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,04/30/2024,"USD 45,360.00","61,598.88","61,394.76",USD 0.00,USD 0.00,United States Dollar,0.74,1.35,No,"61,394.76",204.12,Yes
