Job,Applied to,Number,Transaction Date,Amt. Due,Sales Order:Quantity
3955.0,Sobeys Quebec City,6752,12/04/2024,"USD 6,857.28",288.0
3955.0,Sobeys BCH,6751,12/04/2024,"USD 16,000.32",672.0
3976.0,Charlies Seattle,6725,12/04/2024,"USD 20,174.40",720.0
3970.0,Sobeys Quebec City,6754,12/02/2024,"USD 6,857.28",288.0
3970.0,Sobeys BCH,6753,12/02/2024,"USD 16,000.32",672.0
,Fairtrade Labelling Organizations Inter. e.V.,11-2024,11/30/2024,"CAD 7,203.87",
,Revenu Québec,TQ001 2024-11,11/30/2024,"CAD 3,155.84",
,Agence du revenu du Canada,TPS RQ 2024-11.30,11/30/2024,"CAD 2,191.66",
3925.0,Charlies Seattle,6711,11/27/2024,"USD 20,174.40",720.0
3932.0,Charlies Seattle,6672,11/21/2024,"USD 20,174.40",720.0
3886.0,Charlies Seattle,6624,11/14/2024,"USD 20,174.40",720.0
3872.0,Charlies Seattle,6625,11/08/2024,"USD 20,174.40",720.0
3785.0,"Chiovitti Banana Co., Ltd",6622,11/07/2024,USD 0.00,960.0
3855.0,Charlies Seattle,6603,10/31/2024,"USD 20,174.40",720.0
3805.0,Charlies Seattle,6573,10/24/2024,"USD 20,174.40",720.0
3828.0,"Chiovitti Banana Co., Ltd",6532,10/09/2024,"USD 19,005.14",960.0
3732.0,"Chiovitti Banana Co., Ltd",6531,10/06/2024,"USD 19,384.40",960.0
4247.0,Sobeys BCH,5850,04/26/2024,"USD 16,013.76",672.0
4247.0,Sobeys Quebec City,5849,04/26/2024,"USD 6,863.04",288.0
