"Description","Length (in)","Height (in)","Width (in)","Weight (lb)","Volume (ft³)","Maximum Weight (lb)","Type","Type Code","Container Code","Container Type","Method"
"Can Case","0.00","0.00","0.00","0.00","0.00","0.00","Can Case","CCS",,,
"Carboy","0.00","0.00","0.00","0.00","0.00","0.00","Carboy","CBY",,,
"Container Bulk Cargo","0.00","0.00","0.00","0.00","0.00","0.00","Container Bulk Cargo","CBC",,,
"Caja con tapa organica (morado y verde)","0.00","0.00","0.00","0.00","0.00","0.00","Case","CAS",,,
"Carcass","0.00","0.00","0.00","0.00","0.00","0.00","Carcass","CAR",,,
"Can","0.00","0.00","0.00","0.00","0.00","0.00","Can","CAN",,,
"Bale","0.00","0.00","0.00","0.00","0.00","0.00","Bale","BLE",,,
"Bucket","0.00","0.00","0.00","0.00","0.00","0.00","Bucket","BKT",,,
"Bin","0.00","0.00","0.00","0.00","0.00","0.00","Bin","BIN",,,
"Bing Chest","0.00","0.00","0.00","0.00","0.00","0.00","Bing Chest","BIC",,,
"Bundle","0.00","0.00","0.00","0.00","0.00","0.00","Bundle","BDL",,,
"Wrapped","0.00","0.00","0.00","0.00","0.00","0.00","Wrapped","WRP",,,
"Vehicles","0.00","0.00","0.00","0.00","0.00","0.00","Vehicles","VEH",,,
"Tray","0.00","0.00","0.00","0.00","0.00","0.00","Tray","TRY",,,
"Tube","0.00","0.00","0.00","0.00","0.00","0.00","Tube","TBE",,,
"Sheet","0.00","0.00","0.00","0.00","0.00","0.00","Sheet","SHT",,,
"Roll","0.00","0.00","0.00","0.00","0.00","0.00","Roll","ROL",,,
"Rack","0.00","0.00","0.00","0.00","0.00","0.00","Rack","RCK",,,
"Package","0.00","0.00","0.00","0.00","0.00","0.00","Package","PKG",,,
"Pieces","0.00","0.00","0.00","0.00","0.00","0.00","Pieces","PCS",,,
"Parcel","0.00","0.00","0.00","0.00","0.00","0.00","Parcel","PCL",,,
"Gallon","0.00","0.00","0.00","0.00","0.00","0.00","Gallon","GAL",,,
"Frame","0.00","0.00","0.00","0.00","0.00","0.00","Frame","FRM",,,
"Envelope","0.00","0.00","0.00","0.00","0.00","0.00","Envelope","ENV",,,
"Cylinder","0.00","0.00","0.00","0.00","0.00","0.00","Cylinder","CYL",,,
"Cones","0.00","0.00","0.00","0.00","0.00","0.00","Cones","CON",,,
"Cabinet","0.00","0.00","0.00","0.00","0.00","0.00","Cabinet","CAB",,,
"Basket","0.00","0.00","0.00","0.00","0.00","0.00","Basket","BSK",,,
"Bottle","0.00","0.00","0.00","0.00","0.00","0.00","Bottle","BOT",,,
"Barrel","0.00","0.00","0.00","0.00","0.00","0.00","Barrel","BBL",,,
"Crate","0.00","0.00","0.00","0.00","0.00","0.00","Crate","CRT",,,
"Tank","0.00","0.00","0.00","0.00","0.00","0.00","Tank","TNK",,,
"Skid","0.00","0.00","0.00","0.00","0.00","0.00","Skid","SKD",,,
"Drum","0.00","0.00","0.00","0.00","0.00","0.00","Drum","DRM",,,
"Bag","0.00","0.00","0.00","0.00","0.00","0.00","Bag","BAG",,,
"Box","0.00","0.00","0.00","0.00","0.00","0.00","Box","BOX",,,
"Pallet","0.00","0.00","0.00","0.00","0.00","0.00","Pallet","PLT",,,
"Other","0.00","0.00","0.00","0.00","0.00","0.00","Other","   ",,,
"Container","0.00","0.00","0.00","0.00","0.00","0.00","Container","CNT",,,
