container,pieces,manufacturer,departure_date,arrival_date,purchase_order_harvest_date,description,item_definition_categories,part_number,purchase_order_pallets,unitary_value,status,purchase_order_container#
2605,96,ASOGUABO,01/22/2023,02/05/2023,01-18-2023,Banano Cavendish Organico Fairtrade con banda,Organic,001ECELG,Chep,19.26,On Hand,SEKU9170188
2664,960,Coliman Pacific Corporation,NaN,NaN,02-10-2023,Banano Cavendish Organico Fairtrade con banda,Organic,001MXCOL,Standard Americano,20.88,Ordered,NaN
2747,900,Surgesa S.A.,04/10/2023,04/24/2023,04-06-2023,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECSUR,Chep,19.44,In Transit,MNBU0219728
2896,900,ASOGUABO,06/18/2023,07/03/2023,06-14-2023,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,19.44,On Hand,TEMU9493639
2932,900,Marplantis Organic Sustainable Agriculture,07/08/2023,07/19/2023,07-04-2023,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,18.82,On Hand,CAIU5470591
2968,384,ASOGUABO,07/17/2023,07/31/2023,07-14-2023,Banano Cavendish Organico Fairtrade con banda,Organic,001ECELG,Chep,18.8,On Hand,MNBU0083436
3473,960,COQUIMBA,06/29/2024,07/08/2024,06-25-2024,Banano Cavendish Convencional Fairtrade con etiqueta,Conventional,004NICOQ,Standard Americano,13.94,In Transit,MNBU4014367
3618,672,Marplantis Organic Sustainable Agriculture,08/11/2024,08/21/2024,08-06-2024,Banano Cavendish Organico Fairtrade con banda,NaN,001ECMAR,Tipo CHEP,19.25,On Hand,ZMOU8896429
3618,288,Marplantis Organic Sustainable Agriculture,08/11/2024,08/21/2024,08-06-2024,Banano Cavendish Organico Fairtrade con banda,NaN,001ECMAR,Tipo CHEP,19.25,On Hand,ZMOU8896429
3677,960,COQUIMBA,08/30/2024,09/09/2024,08-27-2024,Banano Cavendish Convencional Fairtrade con etiqueta,Conventional,004NICOQ,Standard Americano,13.97,On Hand,MNBU3113299
3920,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,24.54,Ordered,NaN
3942,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,24.54,Ordered,NaN
3944,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,24.54,Ordered,NaN
4012,900,Surgesa S.A.,09/29/2023,10/10/2023,09-27-2023,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECSUR,NaN,19.99,On Hand,CGMU9320420
4291,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,24.18,Ordered,NaN
4386,900,Marplantis Organic Sustainable Agriculture,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,19.32,Ordered,NaN
4507,900,Marplantis Organic Sustainable Agriculture,12/14/2024,01/06/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,19.82,On Hand,MNBU3629161
4508,960,Marplantis Organic Sustainable Agriculture,12/14/2024,12/29/2024,NaN,Banano Cavendish Organico Fairtrade con banda,NaN,001ECMAR,Tipo CHEP,19.61,On Hand,MWCU5235488
4515,960,APPBOSA,12/14/2024,12/29/2024,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001PEAPP,Chep,19.95,On Hand,MWCU6836708
4516,900,PRIECOR S.A.,12/14/2024,12/29/2024,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECPRI,Walk Global/Escobar,19.88,On Hand,MNBU3072287
4518,900,ASOGUABO,12/14/2024,12/29/2024,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,19.98,On Hand,MNBU0647393
4519,900,ASOGUABO,12/14/2024,12/29/2024,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,19.98,On Hand,MNBU4279453
4520,768,ASOGUABO,12/14/2024,12/29/2024,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001ECELG,Tipo CHEP,19.88,On Hand,MNBU3731342
4520,192,ASOGUABO,12/14/2024,12/29/2024,NaN,Banano Cavendish Convencional Fairtrade con etiqueta,Conventional,004ECELG,Tipo CHEP,15.37,On Hand,MNBU3731342
4522,960,ASOGUABO,12/14/2024,12/29/2024,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001ECELG,Tipo CHEP,19.88,On Hand,MNBU4484519
4523,960,Marplantis Organic Sustainable Agriculture,12/21/2024,01/01/2025,NaN,Banano Cavendish Organico Fairtrade con banda,NaN,001ECMAR,Walk Global/Escobar,19.77,On Hand,IKSU5200800
4524,900,ASOGUABO,12/14/2024,12/29/2024,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,19.98,On Hand,MNBU3829703
4525,900,Hacienda Celia María C.A.,12/14/2024,12/29/2024,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECHCM,Walk Global/Escobar,20.06,On Hand,MNBU3352117
4529,960,ASOGUABO,12/14/2024,12/29/2024,NaN,Banano Cavendish Convencional Fairtrade con etiqueta,Conventional,004ECELG,Tipo CHEP,15.37,On Hand,MCAU5009849
4534,900,Marplantis Organic Sustainable Agriculture,12/21/2024,01/01/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,19.98,On Hand,OTPU6050205
4535,900,PRIECOR S.A.,12/21/2024,01/06/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECPRI,Walk Global/Escobar,20.05,On Hand,MNBU3180189
4544,960,APPBOSA,12/24/2024,01/06/2025,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001PEAPP,Chep,20.12,On Hand,MNBU0250940
4546,900,ASOGUABO,12/21/2024,01/06/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,20.16,On Hand,MNBU0601134
4547,900,ASOGUABO,12/21/2024,01/06/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,20.16,On Hand,MNBU3477325
4548,900,ASOGUABO,12/21/2024,01/06/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,20.14,On Hand,MMAU1075056
4549,900,Hacienda Celia María C.A.,12/21/2024,01/06/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECHCM,Walk Global/Escobar,20.24,On Hand,MNBU0224920
4551,900,Latbio S.A.,12/21/2024,01/06/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECLAT,Walk Global/Escobar,20.05,On Hand,MMAU1093213
4552,900,Marplantis Organic Sustainable Agriculture,12/28/2024,01/13/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,20.13,On Hand,MNBU4006248
4553,900,Marplantis Organic Sustainable Agriculture,12/28/2024,01/13/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,20.13,On Hand,MNBU0528753
4554,900,Marplantis Organic Sustainable Agriculture,12/28/2024,01/13/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,20.13,On Hand,SUDU9010673
4555,960,ASOGUABO,12/21/2024,01/06/2025,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001ECELG,Tipo CHEP,20.05,On Hand,MNBU3701477
4556,960,ASOGUABO,12/21/2024,01/06/2025,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001ECELG,Tipo CHEP,20.05,On Hand,MNBU4284151
4557,900,Surgesa S.A.,12/28/2024,01/13/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECSUR,Walk Global/Escobar,20.32,On Hand,MNBU4180033
4558,900,Surgesa S.A.,12/29/2024,01/10/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECSUR,Walk Global/Escobar,20.78,On Hand,ZMOU8833713
4559,900,Marplantis Organic Sustainable Agriculture,12/22/2024,01/03/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,20.13,On Hand,TRIU8197959
4565,45,Coliman Pacific Corporation,01/09/2025,01/13/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,27.46,On Hand,NaN
4566,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.31,Ordered,NaN
4567,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.31,Ordered,NaN
4568,900,PRIECOR S.A.,12/28/2024,01/13/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECPRI,Walk Global/Escobar,20.32,On Hand,MNBU0059276
4569,900,ASOGUABO,12/28/2024,01/13/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,20.48,On Hand,MNBU3721318
4570,900,ASOGUABO,12/28/2024,01/13/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,20.48,On Hand,MNBU3512093
4571,900,ASOGUABO,12/28/2024,01/13/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,20.48,On Hand,MNBU3774690
4573,900,Hacienda Celia María C.A.,12/28/2024,01/13/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECHCM,Walk Global/Escobar,20.51,On Hand,MNBU3982076
4574,900,Latbio S.A.,12/28/2024,01/13/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECLAT,Walk Global/Escobar,20.32,On Hand,MNBU0537591
4576,960,C.I. AGRICOLAS LAS FLORES S.A.S.,01/04/2025,01/12/2025,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001COCIA,Chep,20.63,On Hand,SEGU9466391
4577,720,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001MXCOL,Chep,25.24,Ordered,NaN
4578,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.6,Ordered,NaN
4579,720,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001MXCOL,Chep,25.24,Ordered,NaN
4580,960,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001MXCOL,Chep,25.24,Ordered,NaN
4581,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.6,Ordered,NaN
4582,960,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001MXCOL,Chep,25.24,Ordered,NaN
4583,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.6,Ordered,NaN
4584,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.6,Ordered,NaN
4585,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.6,Ordered,NaN
4586,960,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001MXCOL,Chep,25.24,Ordered,NaN
